Language,item,native,phonetic,description
Afrikaans,dankie
Albanian,faleminderit
Arabic,shukran,ُكْراً‏,,
Armenian,,շնորհակալություն,chnorakaloutioun,
Bosnian,hvala (hvah-lah) 
Bulgarian,,благодаря,blagodaria,
Cantonese (gift),多謝,dòjeh
Cantonese (service),唔該,m̀hgòi,
Catalan,gràcies,grah-syuhs, 
Chinese,xièxie,谢谢,,
Croatian,hvala ,hvah-lah
Czech,,děkuji,dyekooyih,
Danish,tak,,tahg,
Dutch,dank u,dankjewel,,
English,thank you,,,
Estonian,,tänan ,ta-nahn
Ethiopian,,,አመሰግናለሁ,āmeseginalehu,amharic language
Farsi,,salam,متشکرم,,
Filipino,salamat,,,
Finnish,kiitos,,kee-tohss,
Flemish,merci,,,
French,merci,,,
German,danke,,,
Greek,efharisto,ευχαριστώ,,
Gujarati,,આભાર,ābhāra,
Hawaiian,mahalo,,,
Hebrew,todah,תודה,toh-dah,
Hindi,shukriya,dhanyavād,धन्यवाद।,,, 
Hungarian,,köszönöm,kø-sø-nøm,
Icelandic,takk,,tahk,
Indonesian,terima kasih,,tuh-ree-mah kah-see,
Irish,,go raibh maith agat,guh rev mah a-gut,gaelic
Italian,grazie ,graht-tsyeh,,
Japanese,arigatô,ありがとう,ah-ree-gah-toh,
Korean,gamsahabnida,감사합니다,,
Lakota,,pilámaya,,
Latin,gratias,,,plural: tibi / vobis
Latvian,paldies ,puhl-dyehs,,
Lebanese,chokran,,,
Lebanese,choukrane
Lithuanian,ačiū ,ah-choo
Macedonian,blagodaram,благодарам,blah-goh-dah-rahm,
Malay,terima kasih ,tree-muh kah-seh,,
Maltese,grazzi ,gruts-ee,,
Mandarin,xièxiè,,,
Mongolian,bayarlalaa,баярлалаа,
Navajo,ahéhee,,,
Norwegian,takk,,,
Ojibwe,miigwech,,
Polish,dziękuję ,jenkoo-yen  
Portuguese,obrigado,,,masculine: obrigado & feminine: obrigada
Punjabi,,ਤੁਹਾਡਾ ਧੰਨਵਾਦ,tuhāḍā dhanavāda,
Romanian,mulţumesc,,mool-tzoo-mesk,
Russian,n/a,спасибо,spuh-see-buh ,
Serbian,hvala,xвала,hvah-lah,
Slovak,ďakujem,jah-koo-yehm 
Slovenian,hvala,hvaa-lah 
Spanish,gracias,grah-syahs 
Swahili,asante,,,
Swedish,tack,,,
Tagalog,salamat,,,
Taiwanese,,多謝,to-siā,
Tamil,nandri
Thai,khop khun mak kha,,,
Thai,kop khun
Turkish,,teşekkür ederim,teh shek uer eh der eem,
Twi,meda,,w’ase,,
Ukrainian,,дякую ,dyah-koo-yoo,
Vietnamese,,cám ơn bạn,,,
Welsh,diolch,dee-ol’ch,,
Yiddish,a dank,אדאנק,adank,
Zulu,ngiyabonga,,,
